SN,thickness,defect,band_gap,electron_affinity,doping,pce
430,0.8,1E+016,1.41,3.755,1E+016,20.0052341
431,0.8,1E+016,1.41,3.755,1E+017,21.6549584
432,0.8,1E+016,1.41,3.755,1E+018,20.9060636
433,0.8,1E+016,1.41,3.855,1000000000000000,19.5939058
434,0.8,1E+016,1.41,3.855,1E+016,19.4951166
435,0.8,1E+016,1.41,3.855,1E+017,19.2533298
436,0.8,1E+016,1.41,3.855,1E+018,20.3045141
437,0.8,1E+016,1.41,3.955,1000000000000000,18.5528877
438,0.8,1E+016,1.41,3.955,1E+016,18.3614598
439,0.8,1E+016,1.41,3.955,1E+017,19.1384921
